PLACEMENT_ID,STUDENT_ID,MOCK_INTERVIEW_SCORE,INTERNSHIPS_COMPLETED,PLACEMENT_STATUS,COMPANY_NAME,PLACEMENT_PACKAGE,INTERVIEW_ROUNDS_CLEARED,PLACEMENT_DATE
254,254,76,1,Placed,Hall PLC,776023,3,2024-10-11
255,255,71,2,NotPlaced,,0,2,
256,256,46,2,Placed,"Barnes, Roberts and Flores",904524,2,2025-07-03
257,257,55,2,Placed,Sexton PLC,1254332,0,2024-10-29
258,258,56,0,Placed,"Bradford, Copeland and Castaneda",512477,0,2025-03-26
259,259,45,2,NotPlaced,,0,4,
260,260,83,3,Placed,"Benson, Leon and Tapia",417776,2,2025-02-17
261,261,66,3,Placed,Vargas Inc,442372,0,2025-01-17
262,262,66,1,Placed,"Thompson, Owens and Mitchell",1211415,2,2024-10-07
263,263,67,3,Placed,"Gonzalez, Bennett and Rice",826385,5,2025-07-03
264,264,97,3,Placed,Nelson Ltd,417533,4,2025-06-12
265,265,96,0,NotPlaced,,0,4,
266,266,100,0,NotPlaced,,0,3,
267,267,84,2,NotPlaced,,0,4,
268,268,55,3,Placed,Butler Ltd,661773,5,2024-12-06
269,269,59,1,NotPlaced,,0,5,
270,270,83,3,Placed,Carr Inc,1389212,2,2025-01-19
271,271,82,3,NotPlaced,,0,2,
272,272,49,2,NotPlaced,,0,3,
273,273,89,0,Placed,"Harper, Navarro and Chapman",670486,2,2025-01-19
274,274,78,3,Placed,"Knox, Hall and Fischer",610502,0,2024-09-02
275,275,88,2,Placed,Griffith-Tran,1132336,2,2025-01-16
276,276,72,1,Placed,"Crawford, Flores and Simmons",735413,0,2025-04-01
277,277,72,3,NotPlaced,,0,2,
278,278,70,2,Placed,"Paul, Ross and Cooper",1035349,4,2025-03-10
279,279,63,3,NotPlaced,,0,2,
280,280,66,0,Placed,"Moore, Crawford and Jones",1205615,4,2025-05-11
281,281,94,2,NotPlaced,,0,1,
282,282,59,3,NotPlaced,,0,3,
283,283,41,3,Placed,"Barr, Valencia and King",1291162,0,2024-09-04
284,284,51,0,NotPlaced,,0,2,
285,285,82,0,NotPlaced,,0,2,
286,286,58,0,Placed,Smith Ltd,1332038,1,2024-10-21
287,287,40,0,Placed,Brown-Roberts,995568,4,2024-10-27
288,288,75,1,NotPlaced,,0,3,
289,289,100,3,Placed,Clark and Sons,857489,3,2025-06-18
290,290,50,2,NotPlaced,,0,1,
291,291,100,2,Placed,Wilson and Sons,1489461,3,2025-05-24
292,292,90,1,Placed,"Barrett, Taylor and Ayala",403620,1,2024-08-15
293,293,72,3,Placed,Smith-Brown,1344236,5,2024-09-28
294,294,72,0,NotPlaced,,0,0,
295,295,72,1,NotPlaced,,0,3,
296,296,71,3,NotPlaced,,0,4,
297,297,58,1,Placed,French-Jordan,502807,0,2025-07-09
298,298,77,1,NotPlaced,,0,1,
299,299,49,2,Placed,Bell and Sons,1251762,0,2025-02-15
300,300,99,2,Placed,Foster-Evans,743635,3,2025-02-25
301,301,90,2,Placed,"Wilson, Moore and Vega",1321039,3,2024-08-27
302,302,95,2,Placed,Stuart Group,1300331,2,2025-05-29
303,303,51,1,Placed,Edwards Group,1098711,3,2025-01-26
304,304,88,1,Placed,Powell-Sanders,549867,3,2025-04-28
305,305,41,0,NotPlaced,,0,3,
306,306,48,2,NotPlaced,,0,4,
307,307,49,3,NotPlaced,,0,3,
308,308,99,2,NotPlaced,,0,0,
309,309,49,1,Placed,"Molina, Cruz and Bush",582688,0,2025-01-30
310,310,54,2,NotPlaced,,0,4,
311,311,65,0,NotPlaced,,0,0,
312,312,50,0,Placed,Garcia LLC,490761,2,2024-11-16
313,313,64,1,Placed,Sims-Burnett,785119,2,2025-05-15
314,314,45,2,Placed,"Wright, Taylor and Montgomery",981888,4,2025-02-12
315,315,49,2,NotPlaced,,0,5,
316,316,66,3,Placed,"Barnes, Rich and Griffin",939691,2,2024-09-14
317,317,60,0,NotPlaced,,0,2,
318,318,50,0,Placed,Kelley Inc,652112,5,2024-07-24
319,319,79,2,Placed,Kelley Group,1169150,1,2025-06-30
320,320,54,0,Placed,Sanchez PLC,583044,3,2024-12-07
321,321,72,1,NotPlaced,,0,5,
322,322,92,0,NotPlaced,,0,4,
323,323,62,1,NotPlaced,,0,3,
324,324,93,3,Placed,Fox Ltd,709297,5,2024-09-09
325,325,47,0,NotPlaced,,0,5,
326,326,63,3,Placed,"Richardson, Rogers and Howard",420901,4,2025-06-25
327,327,66,0,NotPlaced,,0,2,
328,328,51,1,NotPlaced,,0,0,
329,329,79,0,NotPlaced,,0,3,
330,330,74,3,NotPlaced,,0,0,
331,331,70,1,Placed,Alexander LLC,1301107,3,2025-05-01
332,332,79,0,Placed,Chung-Bailey,631521,4,2024-08-12
333,333,84,1,Placed,Williams-Pratt,1268715,5,2025-03-08
334,334,71,0,Placed,"Cruz, Lopez and Hall",476560,3,2025-04-19
335,335,84,1,NotPlaced,,0,5,
336,336,60,3,Placed,Hicks-Hernandez,1227777,3,2024-11-10
337,337,54,2,NotPlaced,,0,1,
338,338,86,2,Placed,Marks-Jones,1067381,4,2024-09-17
339,339,74,2,Placed,Mclaughlin-Carlson,1015664,0,2025-01-24
340,340,91,3,NotPlaced,,0,4,
341,341,47,0,Placed,"Fleming, Hernandez and Simon",763823,3,2025-05-12
342,342,60,1,NotPlaced,,0,3,
343,343,57,0,NotPlaced,,0,0,
344,344,42,2,Placed,Wong-Wade,855372,4,2025-04-15
345,345,73,3,NotPlaced,,0,3,
346,346,65,0,Placed,"Allen, Brewer and Benjamin",530145,3,2024-10-18
347,347,64,3,NotPlaced,,0,5,
348,348,74,0,Placed,"Bell, Graham and Mills",1491426,5,2025-03-10
349,349,93,0,NotPlaced,,0,1,
350,350,58,2,NotPlaced,,0,4,
351,351,92,2,Placed,Martinez-Potts,1464880,1,2025-04-01
352,352,72,2,Placed,Jackson-Hughes,1147355,1,2024-10-20
353,353,75,1,NotPlaced,,0,2,
354,354,51,3,Placed,"Conley, Caldwell and Wells",1307377,1,2024-09-30
355,355,62,2,NotPlaced,,0,3,
356,356,44,0,Placed,Campbell PLC,1174597,1,2025-05-14
357,357,95,0,Placed,Adams-Harper,796746,3,2024-09-22
358,358,53,3,Placed,"Dalton, Marshall and Myers",738045,1,2024-12-20
359,359,99,0,NotPlaced,,0,2,
360,360,100,3,Placed,"Swanson, Grant and Fischer",1082513,4,2025-03-17
361,361,42,2,NotPlaced,,0,5,
362,362,90,2,NotPlaced,,0,5,
363,363,97,1,NotPlaced,,0,3,
364,364,74,0,Placed,Washington-Green,676170,0,2025-04-24
365,365,90,2,Placed,Dickson LLC,1310883,5,2025-02-20
366,366,68,3,NotPlaced,,0,2,
367,367,53,3,NotPlaced,,0,1,
368,368,71,0,Placed,"Valencia, Ortiz and Rosales",579013,3,2024-12-15
369,369,75,3,NotPlaced,,0,1,
370,370,61,2,NotPlaced,,0,5,
371,371,90,2,Placed,Solis LLC,626332,2,2025-05-20
372,372,72,3,Placed,Jackson-Romero,945616,3,2024-07-13
373,373,82,1,Placed,"Ayala, Evans and Golden",1193855,0,2025-03-13
374,374,81,2,Placed,Bowers LLC,1167403,1,2025-04-01
375,375,60,2,Placed,Brady-Holmes,1306640,0,2024-10-21
376,376,77,2,NotPlaced,,0,2,
377,377,51,1,Placed,"Hernandez, Harris and King",803071,3,2025-06-27
378,378,45,0,Placed,"Sanders, Terry and James",633138,3,2024-12-15
379,379,72,3,Placed,Galvan-Cook,680274,4,2025-06-17
380,380,70,1,Placed,"Smith, Gonzalez and Palmer",1119098,4,2025-03-23
381,381,61,2,Placed,Gomez Ltd,618990,2,2025-02-23
382,382,83,3,NotPlaced,,0,3,
383,383,56,1,NotPlaced,,0,0,
384,384,54,1,NotPlaced,,0,0,
385,385,72,1,Placed,"Coleman, Castaneda and Smith",600302,5,2025-04-13
386,386,74,0,Placed,Torres-Washington,1081846,4,2025-02-06
387,387,70,1,NotPlaced,,0,4,
388,388,63,0,Placed,Hines LLC,1143899,0,2024-07-14
389,389,86,0,Placed,Adams LLC,1367642,2,2025-02-07
390,390,53,1,NotPlaced,,0,0,
391,391,64,0,Placed,"George, Gillespie and Rivers",702151,2,2025-02-04
392,392,100,2,Placed,"Brewer, Anderson and Garza",907942,5,2024-12-12
393,393,84,3,Placed,Miller Group,1311337,0,2024-09-02
394,394,75,3,Placed,Dillon LLC,947566,0,2024-12-01
395,395,65,1,Placed,Brown PLC,994304,4,2025-02-15
396,396,99,3,NotPlaced,,0,0,
397,397,57,1,Placed,Bowman and Sons,604558,1,2025-06-09
398,398,50,1,Placed,Young Inc,661059,2,2025-06-20
399,399,74,1,NotPlaced,,0,1,
400,400,100,3,NotPlaced,,0,1,
401,401,62,0,Placed,Barnes-Anderson,939979,2,2024-10-12
402,402,93,2,NotPlaced,,0,5,
403,403,72,0,Placed,Jackson Group,1010843,1,2024-10-15
404,404,87,0,NotPlaced,,0,0,
405,405,62,3,NotPlaced,,0,2,
406,406,47,3,Placed,Tyler and Sons,420927,3,2025-02-11
407,407,73,3,Placed,Hale Group,558458,5,2025-01-11
408,408,78,1,Placed,Peterson PLC,1412749,4,2025-02-21
409,409,60,1,NotPlaced,,0,1,
410,410,50,2,NotPlaced,,0,4,
411,411,69,0,Placed,Wright Ltd,664188,0,2025-01-08
412,412,49,1,NotPlaced,,0,1,
413,413,73,1,Placed,Bryant Group,1170347,1,2025-06-02
414,414,42,2,Placed,Lloyd-Fletcher,822153,0,2025-03-20
415,415,51,1,NotPlaced,,0,4,
416,416,75,0,NotPlaced,,0,2,
417,417,50,2,Placed,Jones-Bowman,1403630,1,2024-11-24
418,418,75,0,NotPlaced,,0,0,
419,419,90,0,NotPlaced,,0,4,
420,420,61,1,Placed,Cook-Nguyen,1306118,0,2025-06-04
421,421,43,0,Placed,"Bowen, Grant and Smith",1023548,3,2024-08-18
422,422,77,1,Placed,Benton PLC,1066084,4,2025-03-18
423,423,50,2,NotPlaced,,0,1,
424,424,82,0,NotPlaced,,0,4,
425,425,48,1,NotPlaced,,0,0,
426,426,74,3,NotPlaced,,0,3,
427,427,71,2,Placed,Bell-Lawson,497662,4,2024-10-09
428,428,61,2,NotPlaced,,0,5,
429,429,69,3,Placed,Munoz-Soto,457369,1,2025-04-01
430,430,95,3,Placed,Peterson Inc,1254825,3,2024-12-28
431,431,90,0,NotPlaced,,0,0,
432,432,77,1,NotPlaced,,0,0,
433,433,79,2,NotPlaced,,0,1,
434,434,67,2,Placed,Graham-Davis,1139456,2,2025-02-24
435,435,76,3,Placed,"Miller, Taylor and Simpson",805847,2,2024-12-14
436,436,88,1,NotPlaced,,0,1,
437,437,99,1,NotPlaced,,0,2,
438,438,53,1,NotPlaced,,0,3,
439,439,57,0,Placed,Cole-Valdez,472836,2,2024-12-22
440,440,49,0,NotPlaced,,0,3,
441,441,76,1,Placed,Morton and Sons,1232088,2,2025-04-18
442,442,48,1,Placed,Weaver and Sons,799945,2,2025-06-23
443,443,46,2,NotPlaced,,0,0,
444,444,51,2,Placed,"White, Brown and Alexander",1360628,5,2024-11-20
445,445,80,3,Placed,"Green, Howard and Tanner",1381498,4,2025-06-08
446,446,67,3,NotPlaced,,0,3,
447,447,100,1,Placed,Johnson-Garcia,1203484,1,2025-01-07
448,448,97,1,Placed,"Morris, Carey and Powell",1270827,1,2024-10-26
449,449,40,0,NotPlaced,,0,2,
450,450,74,1,Placed,"Armstrong, James and Herman",1312605,2,2025-07-04
451,451,89,2,Placed,Baker-Cruz,728201,5,2024-11-06
452,452,46,3,NotPlaced,,0,3,
453,453,50,3,Placed,"Barnett, Armstrong and Pierce",466022,4,2025-01-22
454,454,70,3,NotPlaced,,0,0,
455,455,91,1,Placed,"Cohen, Harrington and Hancock",631139,5,2025-01-17
456,456,72,2,Placed,"Hawkins, Holmes and Stewart",707254,0,2024-10-08
457,457,62,1,Placed,Smith Ltd,1239466,4,2025-06-17
458,458,76,3,NotPlaced,,0,3,
459,459,86,3,NotPlaced,,0,2,
460,460,79,2,NotPlaced,,0,4,
461,461,44,0,NotPlaced,,0,0,
462,462,86,2,NotPlaced,,0,4,
463,463,55,0,NotPlaced,,0,1,
464,464,60,2,Placed,Maddox-Velasquez,1216909,0,2025-02-01
465,465,59,1,NotPlaced,,0,3,
466,466,86,1,Placed,Moore and Sons,799580,2,2024-12-21
467,467,59,3,NotPlaced,,0,0,
468,468,60,3,NotPlaced,,0,0,
469,469,70,2,NotPlaced,,0,2,
470,470,78,1,Placed,Hill-Meza,753017,4,2025-06-20
471,471,61,3,Placed,"Smith, Perez and Mckinney",1489272,3,2025-06-17
472,472,84,3,NotPlaced,,0,2,
473,473,62,2,NotPlaced,,0,2,
474,474,78,3,NotPlaced,,0,2,
475,475,79,3,NotPlaced,,0,1,
476,476,48,3,Placed,Mcdowell-Wheeler,500736,3,2025-03-31
477,477,55,3,Placed,Brady LLC,1472561,3,2025-01-07
478,478,80,2,Placed,Mccarthy PLC,491388,4,2025-05-04
479,479,79,2,Placed,Hood-Bowman,488918,2,2025-01-02
480,480,40,1,Placed,Weaver-Torres,610635,3,2024-08-04
481,481,98,1,NotPlaced,,0,3,
482,482,91,2,NotPlaced,,0,0,
483,483,77,0,NotPlaced,,0,4,
484,484,94,2,Placed,Baird and Sons,1080100,4,2024-11-16
485,485,96,3,Placed,Hernandez LLC,1432525,2,2024-09-04
486,486,82,1,Placed,Nunez Group,1364912,0,2024-11-19
487,487,88,3,NotPlaced,,0,3,
488,488,59,0,Placed,Scott-Jones,1473754,5,2024-12-28
489,489,88,2,NotPlaced,,0,4,
490,490,94,0,Placed,Brown-Lopez,627156,0,2024-12-17
491,491,75,2,Placed,Lucas-Goodwin,773830,2,2025-02-17
492,492,49,2,Placed,"Short, Wyatt and Jennings",421123,4,2025-02-22
493,493,61,2,Placed,Peterson and Sons,1040687,0,2024-08-14
494,494,99,3,NotPlaced,,0,1,
495,495,78,0,Placed,Knapp-Miller,1326269,0,2025-06-13
496,496,57,2,NotPlaced,,0,1,
497,497,84,3,Placed,Snyder PLC,575338,1,2024-12-18
498,498,40,1,Placed,Washington Inc,1185373,2,2024-10-01
499,499,49,3,NotPlaced,,0,1,
500,500,55,1,NotPlaced,,0,3,
